year,month,day,week,temp_2,temp_1,average,actual,forecast_noaa,forecast_acc,forecast_under,friend
2006,12,19,Sun,68,7,53.607158122293356,73,80,22,66,7
2019,7,7,Wed,-7,15,24.414827562605026,41,46,58,10,-7
2014,1,18,Sat,95,85,-12.702443533047743,86,100,57,-19,31
2010,7,13,Fri,83,83,-10.894957757389795,94,-5,70,-8,71
2007,4,5,Sun,15,75,30.866287536959057,42,-19,93,85,9
2020,10,18,Fri,14,25,1.4767592875610696,58,95,1,75,9
2006,6,23,Wed,87,56,-7.384230296338151,18,46,-12,92,100
2018,8,26,Mon,29,0,11.731468924572695,51,20,26,-5,6
2022,9,24,Mon,67,28,69.78760963268188,21,30,64,-6,45
2010,6,24,Tue,58,18,-11.16478516794734,81,-7,-18,4,80
2010,12,29,Fri,-10,17,34.23533501777936,71,57,31,55,56
2020,11,16,Wed,3,-12,79.95654630724745,0,73,10,7,18
2003,9,15,Fri,54,-1,12.418902632003984,26,28,-8,84,21
2007,4,8,Thu,23,63,16.526780042879906,53,83,-19,-9,7
2002,6,26,Fri,30,-13,86.98908071108437,7,28,90,100,63
2021,8,15,Fri,-4,-7,58.650433211914915,0,6,57,64,42
2020,9,25,Thu,49,41,76.52316351119144,92,60,-14,55,82
2001,3,1,Thu,64,63,14.993710201804113,7,18,8,94,34
2011,2,28,Sun,-13,14,100.61032242933253,65,52,-17,33,93
2005,6,17,Wed,58,34,-2.9515392408927426,81,15,-17,37,-3
2001,4,30,Sun,97,24,96.39438760011852,-2,-11,67,92,13
2020,1,15,Mon,95,0,89.15399341735407,42,72,85,-5,36
2000,8,14,Tue,75,84,46.77925254173029,95,-17,0,41,91
2011,9,14,Sun,53,32,50.820874074814824,31,64,94,53,24
2021,9,10,Thu,7,84,73.78079329575083,17,80,24,99,60
2011,2,2,Mon,58,33,17.120634849239316,25,-19,7,-11,17
2016,9,27,Wed,-9,65,43.82384362859641,3,58,81,95,2
2009,7,31,Sat,22,22,89.18747104127006,71,7,-13,45,10
2015,5,6,Fri,61,-15,-11.741866494581808,24,68,21,70,-12
2014,7,30,Wed,99,34,89.56896899222355,56,5,-4,31,14
2014,9,17,Wed,16,23,68.18213065399894,-12,100,-12,9,4
2018,8,5,Thu,87,70,73.15122430167557,-12,52,89,76,18
2011,6,31,Tue,67,47,-12.169109532914312,0,9,40,-5,9
2022,4,5,Sun,42,-17,2.718556937502232,3,-12,63,-11,-16
2019,1,15,Thu,80,100,91.9566777192214,74,-20,48,-6,7
2002,6,15,Fri,97,42,-4.989774734750869,43,35,78,5,96
2004,3,20,Thu,72,71,56.37312552497865,72,35,20,40,-14
2018,6,11,Fri,42,98,74.7057985127971,19,55,8,99,85
2006,6,5,Thu,-11,70,7.985124965054116,53,40,55,-6,97
2020,4,28,Sat,57,37,64.55361556545805,31,24,33,-15,99
2008,2,1,Tue,59,33,-12.065241891275832,-17,95,11,60,21
2006,9,11,Sat,16,60,40.35097676815978,-18,-8,74,88,21
2017,2,11,Mon,-10,82,20.46640724771266,-8,-7,74,-20,36
2003,3,6,Tue,94,17,58.13478410040216,0,-11,44,93,81
2013,10,23,Sun,69,39,87.56958637460261,-13,-4,100,66,62
2017,1,8,Thu,83,31,-4.815598907078089,99,-4,22,77,43
2008,7,31,Wed,-2,8,34.487225949139564,52,10,48,14,68
2020,1,2,Mon,31,19,31.206450586925087,89,25,94,86,42
2001,11,31,Wed,97,50,19.179223845664495,-20,28,79,68,-3
2019,9,15,Sat,-3,-13,38.10017862558464,-7,94,55,-20,96
2014,11,23,Sun,73,84,86.56814581972495,55,69,59,68,90
2006,11,22,Tue,11,76,97.81309398566776,15,78,-5,17,69
2011,1,9,Sun,2,75,-19.656010626554114,1,79,0,59,24
2007,5,15,Mon,96,14,69.42281671668826,96,54,12,90,-1
2014,7,8,Sat,-9,61,54.424825237875524,15,59,5,20,-19
2002,3,30,Thu,37,94,100.33596980954776,24,72,-18,-9,43
2013,9,16,Wed,56,86,-9.118301097470978,-5,88,2,43,9
2016,8,27,Thu,0,-5,78.17290249090208,-10,-3,68,-11,1
2003,3,14,Fri,0,-3,93.0053097140912,46,54,33,6,85
2017,5,15,Sun,72,38,90.36599146266089,77,-10,63,99,98
2007,7,20,Mon,72,81,47.82929721035565,4,52,26,18,13
2003,12,30,Wed,93,68,19.63429354702283,69,68,95,85,14
2001,4,13,Tue,70,13,57.42836428073694,46,34,100,50,48
2005,5,9,Tue,8,-17,17.03471142201129,63,75,92,49,36
2021,3,1,Tue,58,48,29.884580375348364,10,77,97,24,-6
2009,9,27,Sat,26,96,33.932723159815,92,-18,15,-10,18
2003,10,6,Tue,-9,57,16.535971346166207,44,57,14,3,58
2021,9,8,Wed,37,44,21.36111113402697,69,91,22,36,7
2017,7,27,Sun,20,40,-19.11511260497067,68,83,12,19,-9
2011,10,27,Sun,-2,65,15.9465425151594,-10,68,-16,68,46
2001,2,20,Sun,-9,25,37.14895027336102,59,-5,-17,16,-11
2009,7,18,Sat,2,0,0.9338917963006423,63,79,37,-18,79
2003,7,27,Fri,-16,56,77.47573379921317,85,-12,31,47,-14
2013,11,18,Tue,5,97,45.05407967755761,95,47,51,47,22
2015,5,26,Sun,96,91,76.0595608497174,17,24,54,100,60
2014,9,17,Tue,42,79,-4.499484683061651,-19,-19,86,84,-1
2007,12,21,Sat,31,72,79.28186218879318,33,98,29,-20,26
2013,11,16,Tue,-11,17,95.94981418952254,72,68,6,73,92
2022,3,13,Fri,65,52,22.646932310428014,-14,93,-11,58,89
2007,4,22,Sat,18,76,14.358240940576138,28,99,41,24,96
2020,1,4,Sat,2,65,58.26661668329449,19,1,88,10,7
2015,6,4,Mon,-10,60,56.945607375630985,24,100,-1,16,55
2012,4,21,Sat,71,39,-6.391367292590029,33,48,11,93,-3
2017,1,14,Tue,74,66,92.13781294879502,68,28,27,48,36
2014,2,31,Sat,51,15,37.96579479991034,40,0,70,22,88
2020,3,5,Tue,96,-15,72.49438617756199,-17,53,28,64,30
2012,9,16,Tue,82,91,23.47743881821191,86,66,61,78,16
2008,8,14,Sun,27,18,11.645933676648827,13,70,5,-17,55
2014,7,30,Sat,71,8,-6.536100573617929,68,73,14,50,-13
2012,11,14,Mon,-5,6,13.21676448631824,-13,34,7,8,83
2000,12,14,Tue,25,48,100.20516860868186,11,-17,44,79,84
2006,4,25,Sun,26,-12,59.613182249880964,-3,37,77,78,94
2008,1,24,Mon,95,3,77.1366619351509,19,49,98,75,62
2000,8,25,Mon,74,42,95.97960455497154,54,97,5,85,79
2011,4,29,Sat,84,-2,-10.442046432694005,35,38,37,95,49
2007,3,14,Thu,27,76,-0.07197448606577339,16,5,-15,-10,98
2010,9,19,Sun,59,9,92.28384873130845,82,53,29,93,71
2018,10,30,Thu,48,37,48.31099548085366,34,92,28,12,23
2016,4,3,Tue,78,19,56.816753854107105,15,48,37,32,44
2007,4,17,Wed,96,95,31.743748168753797,97,18,25,84,29
2002,9,14,Thu,4,98,78.54587690953323,-11,80,68,100,-2
2002,12,10,Sun,56,47,42.58655003558017,49,83,60,-4,28
2000,11,13,Sat,72,98,79.96166445663894,88,-20,69,-9,46
2004,12,22,Sun,70,11,100.05457903306403,59,36,0,-20,79
2009,2,4,Sat,83,92,58.25394089664124,97,77,75,35,70
2006,12,11,Thu,60,44,43.986443643998406,68,27,4,2,25
2008,5,15,Wed,16,13,24.184100366092423,42,51,75,-14,49
2006,4,15,Fri,81,64,3.5582695399163597,13,0,84,57,9
2008,9,30,Tue,42,10,59.45559229422413,74,10,97,20,16
2007,12,24,Sun,8,38,-12.420899804597148,99,37,42,87,70
2011,5,2,Fri,37,57,95.71079782544304,90,26,62,32,49
2001,9,11,Fri,77,5,58.35417986601169,51,2,45,83,88
2000,11,2,Mon,73,1,96.08289556542148,-4,54,14,-14,84
