Filial,Cidade,Sexo,Categoria,Tipo Cliente,Tipo Promoção,Vendas,Quantidade,Data,Semana,Mês,Ano,Preço Unitário,Preço Unitário com Desconto,Valor Total
Filial A,Rio Branco,M,Móveis,Pessoa Jurídica,Sem Promoção,52,18,2021-01-01,53,1,2021,196,196.0,3528.0
Filial A,Boa Vista,F,Informática,Pessoa Física,Promoção B,93,13,2021-01-02,53,1,2021,56,44.800000000000004,582.4000000000001
Filial C,Macapá,F,Móveis,Pessoa Física,Promoção C,15,12,2021-01-03,53,1,2021,57,39.9,478.79999999999995
Filial B,Macapá,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção C,72,17,2021-01-04,1,1,2021,130,91.0,1547.0
Filial B,Porto Velho,M,Informática,Pessoa Física,Promoção B,61,4,2021-01-05,1,1,2021,73,58.400000000000006,233.60000000000002
Filial B,Palmas,M,Ar condicionado,Pessoa Jurídica,Promoção A,21,10,2021-01-06,1,1,2021,59,53.1,531.0
Filial A,Manaus,M,Ar condicionado,Pessoa Física,Promoção A,83,11,2021-01-07,1,1,2021,50,45.0,495.0
Filial E,Manaus,F,Ar condicionado,Pessoa Física,Promoção C,87,6,2021-01-08,1,1,2021,31,21.7,130.2
Filial A,Manaus,F,Móveis,Pessoa Jurídica,Promoção B,75,6,2021-01-09,1,1,2021,124,99.2,595.2
Filial E,Belém,F,Informática,Pessoa Física,Promoção B,75,9,2021-01-10,1,1,2021,191,152.8,1375.2
Filial D,Palmas,F,Ar condicionado,Pessoa Física,Promoção A,88,15,2021-01-11,2,1,2021,14,12.6,189.0
Filial A,Manaus,F,Ar condicionado,Pessoa Física,Sem Promoção,24,2,2021-01-12,2,1,2021,154,154.0,308.0
Filial A,Porto Velho,F,Informática,Pessoa Jurídica,Sem Promoção,3,4,2021-01-13,2,1,2021,110,110.0,440.0
Filial A,Rio Branco,F,Móveis,Pessoa Física,Promoção A,22,5,2021-01-14,2,1,2021,87,78.3,391.5
Filial B,Palmas,M,Móveis,Pessoa Física,Promoção A,53,17,2021-01-15,2,1,2021,50,45.0,765.0
Filial B,Manaus,F,Informática,Pessoa Física,Promoção B,2,8,2021-01-16,2,1,2021,101,80.80000000000001,646.4000000000001
Filial E,Manaus,M,Informática,Pessoa Física,Promoção C,88,8,2021-01-17,2,1,2021,172,120.39999999999999,963.1999999999999
Filial E,Boa Vista,F,Ar condicionado,Pessoa Física,Promoção C,30,12,2021-01-18,3,1,2021,177,123.89999999999999,1486.8
Filial A,Rio Branco,M,Móveis,Pessoa Jurídica,Sem Promoção,38,8,2021-01-19,3,1,2021,31,31.0,248.0
Filial E,Palmas,M,Eletro-eletrônicos,Pessoa Física,Promoção B,2,19,2021-01-20,3,1,2021,185,148.0,2812.0
Filial B,Manaus,M,Eletro-eletrônicos,Pessoa Física,Promoção B,64,3,2021-01-21,3,1,2021,62,49.6,148.8
Filial E,Macapá,M,Ar condicionado,Pessoa Física,Promoção B,60,18,2021-01-22,3,1,2021,102,81.60000000000001,1468.8000000000002
Filial D,Rio Branco,F,Eletro-eletrônicos,Pessoa Física,Promoção A,21,19,2021-01-23,3,1,2021,19,17.1,324.90000000000003
Filial B,Rio Branco,F,Ar condicionado,Pessoa Física,Promoção A,33,19,2021-01-24,3,1,2021,155,139.5,2650.5
Filial D,Palmas,M,Móveis,Pessoa Jurídica,Promoção C,76,15,2021-01-25,4,1,2021,58,40.599999999999994,608.9999999999999
Filial E,Belém,F,Eletro-eletrônicos,Pessoa Física,Promoção A,58,6,2021-01-26,4,1,2021,80,72.0,432.0
Filial C,Macapá,F,Informática,Pessoa Física,Promoção C,22,16,2021-01-27,4,1,2021,167,116.89999999999999,1870.3999999999999
Filial A,Macapá,F,Móveis,Pessoa Jurídica,Sem Promoção,89,8,2021-01-28,4,1,2021,28,28.0,224.0
Filial B,Palmas,F,Móveis,Pessoa Física,Sem Promoção,49,16,2021-01-29,4,1,2021,64,64.0,1024.0
Filial D,Belém,M,Móveis,Pessoa Física,Promoção B,91,18,2021-01-30,4,1,2021,197,157.60000000000002,2836.8
Filial C,Rio Branco,F,Eletro-eletrônicos,Pessoa Jurídica,Promoção C,59,16,2021-01-31,4,1,2021,30,21.0,336.0
Filial C,Macapá,F,Informática,Pessoa Física,Promoção B,42,11,2021-02-01,5,2,2021,35,28.0,308.0
Filial B,Belém,F,Informática,Pessoa Física,Promoção A,92,7,2021-02-02,5,2,2021,37,33.300000000000004,233.10000000000002
Filial B,Belém,M,Móveis,Pessoa Física,Promoção C,60,17,2021-02-03,5,2,2021,176,123.19999999999999,2094.3999999999996
Filial C,Porto Velho,F,Ar condicionado,Pessoa Jurídica,Promoção B,80,17,2021-02-04,5,2,2021,170,136.0,2312.0
Filial A,Belém,M,Ar condicionado,Pessoa Física,Promoção C,15,12,2021-02-05,5,2,2021,49,34.3,411.59999999999997
Filial A,Belém,F,Informática,Pessoa Jurídica,Promoção C,62,13,2021-02-06,5,2,2021,38,26.599999999999998,345.79999999999995
Filial D,Palmas,F,Ar condicionado,Pessoa Jurídica,Promoção A,62,10,2021-02-07,5,2,2021,29,26.1,261.0
Filial A,Boa Vista,M,Eletro-eletrônicos,Pessoa Física,Sem Promoção,47,7,2021-02-08,6,2,2021,29,29.0,203.0
Filial C,Belém,F,Informática,Pessoa Jurídica,Promoção A,62,14,2021-02-09,6,2,2021,83,74.7,1045.8
Filial C,Porto Velho,M,Móveis,Pessoa Física,Promoção B,51,1,2021-02-10,6,2,2021,149,119.2,119.2
Filial E,Macapá,M,Móveis,Pessoa Física,Promoção A,55,17,2021-02-11,6,2,2021,129,116.10000000000001,1973.7
Filial C,Macapá,M,Eletro-eletrônicos,Pessoa Física,Sem Promoção,64,4,2021-02-12,6,2,2021,106,106.0,424.0
Filial A,Rio Branco,M,Informática,Pessoa Física,Sem Promoção,3,5,2021-02-13,6,2,2021,129,129.0,645.0
Filial D,Manaus,F,Ar condicionado,Pessoa Física,Promoção A,51,7,2021-02-14,6,2,2021,34,30.6,214.20000000000002
Filial E,Belém,M,Informática,Pessoa Física,Promoção B,7,10,2021-02-15,7,2,2021,162,129.6,1296.0
Filial A,Palmas,M,Ar condicionado,Pessoa Física,Promoção A,21,17,2021-02-16,7,2,2021,13,11.700000000000001,198.9
Filial D,Belém,M,Ar condicionado,Pessoa Jurídica,Promoção C,73,7,2021-02-17,7,2,2021,13,9.1,63.699999999999996
Filial A,Palmas,F,Eletro-eletrônicos,Pessoa Jurídica,Promoção B,39,1,2021-02-18,7,2,2021,146,116.80000000000001,116.80000000000001
Filial E,Manaus,M,Móveis,Pessoa Jurídica,Promoção A,18,7,2021-02-19,7,2,2021,152,136.8,957.6000000000001
Filial C,Manaus,F,Móveis,Pessoa Jurídica,Promoção A,4,11,2021-02-20,7,2,2021,35,31.5,346.5
Filial E,Macapá,F,Ar condicionado,Pessoa Física,Promoção B,89,9,2021-02-21,7,2,2021,88,70.4,633.6
Filial C,Palmas,F,Ar condicionado,Pessoa Física,Promoção C,60,12,2021-02-22,8,2,2021,99,69.3,831.5999999999999
Filial E,Porto Velho,F,Ar condicionado,Pessoa Física,Sem Promoção,14,3,2021-02-23,8,2,2021,80,80.0,240.0
Filial B,Macapá,F,Ar condicionado,Pessoa Jurídica,Promoção B,9,4,2021-02-24,8,2,2021,169,135.20000000000002,540.8000000000001
Filial A,Porto Velho,F,Móveis,Pessoa Jurídica,Sem Promoção,90,4,2021-02-25,8,2,2021,85,85.0,340.0
Filial A,Palmas,F,Ar condicionado,Pessoa Física,Promoção A,53,13,2021-02-26,8,2,2021,108,97.2,1263.6000000000001
Filial B,Boa Vista,F,Ar condicionado,Pessoa Física,Sem Promoção,2,19,2021-02-27,8,2,2021,189,189.0,3591.0
